Column1,index,ID,Tweet,Timestamp,Likes,Retweets,Length,Date,Time,Class
10,11,1.49727E+18,ارض  دار العز الكويت اقدم الفيديو زيارتي لـ جناح الكويت هدية لكويت واهلها    بمناسبة العيد الوطني الكويتي  هند المشهور  فبراير عيد التحرير عيدي يا كويت جنة لنا كلنا لا وطن مثل الكويت العيد الوطني الكويتي  ,2/25/22 20:56,1,1,303,2/25/2022,5:56:25 PM,positive
11,12,1.49727E+18, لقطه جميله وعفويه لسوبر ستار الطيف سلمان خان اكسبو وهوه يحمل ايات ابنت اربيتا خان  ,2/25/22 20:46,9,4,178,2/25/2022,5:46:00 PM,positive
12,13,1.49727E+18,مانيش بول تقديم حفل دبانغ اكسبو دبي   ,2/25/22 20:40,4,2,138,2/25/2022,5:40:13 PM,neutral
13,14,1.49726E+18,بداية حفلة السوبر ستار سلمان خان اكسبو دبي تصوير المعجبين  ,2/25/22 20:24,3,3,169,2/25/2022,5:24:58 PM,neutral
14,15,1.49726E+18,اخر تحديث سلمان خان اكسبو المعجبات  ,2/25/22 20:15,6,4,146,2/25/2022,5:15:45 PM,neutral
15,16,1.49726E+18,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  الكويت دبي جنة لنا كلنا الاعياد الوطنية  فبراير نرفع علمنا ونفتخر  وزارة الاعلام الكويت ,2/25/22 20:02,5,0,250,2/25/2022,5:02:54 PM,positive
16,17,1.49725E+18,طلاب الامارات ينالون جاءزة افضل عرض بصري لـ حملة الصحة النفسية والاجتماعية لكبار السن ختام اعمال مجلس الصحة الخليجي المقام اكسبو عينك علا اكسبو   ,2/25/22 19:30,0,0,209,2/25/2022,4:30:01 PM,neutral
17,18,1.49724E+18,حياتي    البرنسيسة ديانا حداد  دبي الامارات,2/25/22 19:18,5,1,129,2/25/2022,4:18:29 PM,positive
18,19,1.49724E+18,نصب الشاب الجزاءري عيسا قريشي طاولة خشبية امامه واضعا لوحات رسمها مستمدا ادواتها تجود الطبيعة رمال وبدقة متناهية يبدا تشكيل حبيبات الرمل الملونة الرسم مستخدما الغراء ليحولها قطع فنية تنطق بالحياة وتستقطب زوار الجناح الجزاءري اكسبو   ,2/25/22 18:54,0,0,303,2/25/2022,3:54:01 PM,positive
19,20,1.49723E+18,برفع العلم وعزف النشيد الوطني لدولة الامارات الكويت اكسبو يحتفي باليوم الوطني الكويتي عينك علا اكسبو   اكسبو,2/25/22 18:30,4,5,173,2/25/2022,3:30:01 PM,positive
20,21,1.49723E+18,التغريدة رح اشاركم افضل الاعمال صمتها تجربة جديدة بالنسبة صعبة لغاية وفخور بتنفيذها تصميم   ,2/25/22 18:19,12,1,192,2/25/2022,3:19:05 PM,neutral
21,22,1.49723E+18,كونوا علا الموعد زياد برجي  بشار الجواد وداليدا خليل السبت مباشرة اكسبو دبي الساعة   علا تلفزيون زياد برجي بشار الجواد داليدا خليل  دبي الامارات اكسبو ,2/25/22 18:12,9,3,293,2/25/2022,3:12:39 PM,neutral
22,23,1.49721E+18,الامارات تبتكر اطلاق النظام الذكي صون لحماية الاساءة رابط التقرير عينك علا اكسبو   اكسبو ,2/25/22 16:50,0,0,180,2/25/2022,1:50:48 PM,neutral
23,24,1.49721E+18,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  خالد مهدي الامين العام لـ المجلس الاعلا لتخطيط والتنمية الكويت دبي اكسبو دبي   وزارة الاعلام الاخبار ,2/25/22 16:49,0,0,243,2/25/2022,1:49:53 PM,positive
24,25,1.4972E+18,اكسبو دبي الاسبوع الجاري واصل تصديه لتحديات وقضايا الامن الغذاءي العالمي والبحث سبل تعزيز ونشر تقنيات الابتكار الزراعي عينك علا العالم عينك علا اكسبو   ,2/25/22 16:17,0,0,215,2/25/2022,1:17:49 PM,positive
25,26,1.4972E+18,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  خالد مهدي الامين العام لـ المجلس الاعلا لتخطيط والتنمية الكويت دبي اكسبو دبي   وزارة الاعلام الكويت,2/25/22 16:15,1,1,269,2/25/2022,1:15:31 PM,positive
26,28,1.49719E+18,اكسبو دبي يقدم لزواره باقة متنوعة العروض والانشطة الترفيهية تنسا عطلة الاسبوع المقبلة عينك علا اكسبو  ,2/25/22 15:36,0,1,180,2/25/2022,12:36:00 PM,positive
27,29,1.49718E+18,مدغشقر تحتفل بعيدها الوطني اكسبو دبي رابط التقرير عينك علا اكسبو   ,2/25/22 15:05,0,0,151,2/25/2022,12:05:50 PM,neutral
28,30,1.49717E+18,عمري هالويه    البرنسيسة ديانا حداد  دبي الامارات,2/25/22 14:26,2,1,135,2/25/2022,11:26:06 AM,positive
29,31,1.49717E+18,المرحلة السادسة لـ طواف الامارات تنطلق اكسبو مرورا ابرز المعالم والايقونات المعمارية امارة دبي عينك علا اكسبو  ,2/25/22 14:25,2,2,182,2/25/2022,11:25:00 AM,neutral
30,32,1.49716E+18,اكسبو دبي نجم باكستان شفقت امانات يشعل مسرح اليوبيل رابط التقرير عينك علا اكسبو  ,2/25/22 14:00,0,2,166,2/25/2022,11:00:03 AM,positive
31,33,1.49716E+18,لعشاق الحلويات حياكم  الحلقة مخصة زيارتكم لـ اكسبو دبي يزداد مذاقها حلاوة عبداله المراشدة يعرض خريطة الدول تقدم افضل انواع الشوكولاتة العالم داخل اكسبو دبي حلقة جديدة برنامج اكسبو عينك علا اكسبو  ,2/25/22 13:25,4,2,299,2/25/2022,10:25:00 AM,neutral
32,34,1.49715E+18,الامارات الكويت اكسبو دبي يعز العلاقات الاخوية بالاعياد الوطنية رابط التقرير عينك علا اكسبو  ,2/25/22 12:55,2,2,181,2/25/2022,9:55:00 AM,positive
33,35,1.49714E+18,الهم طمانينة لقلبها تيسيرا لامورها يارب العالمين       البرنسيسة ديانا حداد  دبي الامارات ,2/25/22 12:30,2,1,180,2/25/2022,9:30:42 AM,positive
34,36,1.49714E+18,الاحلام حقيقة اكسبو دبي تفاصيل السيارة الاجرة الطاءرة عينك علا اكسبو   ,2/25/22 12:29,0,0,130,2/25/2022,9:29:51 AM,positive
35,37,1.49714E+18,هدفه الكشف المبكر الاساءة المحتملة داخل الاسرة وزارة تنمية المجتمع دولة الامارات تطلق نظام صون اكسبو دبي اسرة امنة وسعيدة شاهدوا التقرير عينك علا اكسبو  ,2/25/22 12:20,4,6,243,2/25/2022,9:20:47 AM,neutral
36,38,1.49713E+18,عروض موسيقية ميزة الجناح الهندي بـ اكسبو دبي رابط التقرير  عينك علا اكسبو  ,2/25/22 11:42,1,2,161,2/25/2022,8:42:47 AM,positive
37,39,1.49711E+18,جناح يلفت نظر الزوار لخطر المحيط بالدولة باختفاءها  فقط وذلك بفعل التغير المناخي وارتفاع منسوب المياه كريباتي اكسبو دبي  فردوس مصم علا البقاء عينك علا اكسبو   ,2/25/22 10:30,2,3,236,2/25/2022,7:30:05 AM,positive
38,40,1.49708E+18,تعرفوا علا ابرز فعاليات الـ  لـ اكسبو  دبي  الجمعة  م اكسبو   ,2/25/22 8:07,15,23,149,2/25/2022,5:07:05 AM,neutral
39,41,1.49697E+18,وزير الاعلام والثقافة وزير الصحة يزوران جناح دولة الكويت اكسبو دبي  الكويت دبي  الخميس الونيس الحرب الروسية الاوكرانية مساء الخيرᅠ وسم نيوز ,2/25/22 1:05,0,0,200,2/24/2022,10:05:26 PM,neutral
40,42,1.49697E+18,وزير الاعلام والثقافة وزير الصحة يزوران جناح دولة الكويت اكسبو دبي  الكويت دبي  وزارة الاعلام الكويت ,2/25/22 1:02,4,0,178,2/24/2022,10:02:52 PM,neutral
41,43,1.49696E+18,بحضور رءيسها نيكوس اناستاسيادس قبرص تحتفل بيومها الوطني اكسبو دبي عينك علا اكسبو  ,2/25/22 0:36,0,1,144,2/24/2022,9:36:05 PM,neutral
42,44,1.49695E+18,امنة وهادءة  ولاتسب تلوث الاحلام تحق اكسبو دبي بالكشف سيارات اجرة طاءرة عينك علا اكسبو  ,2/24/22 23:30,0,1,156,2/24/2022,8:30:00 PM,positive
43,45,1.49694E+18,الشيخ محمد راشد  اكسبو دبي يعد منصة نموذجية لاحتفاء بالابداع والابتكار واكتشاف شراكات جديدة خلالها ايجاد المزيد فرص التطور والرقي لشعوب المنطقة والعالم عينك علا اكسبو  ,2/24/22 23:00,2,1,257,2/24/2022,8:00:01 PM,positive
44,46,1.49693E+18,بهدف تحسين الامن الغذاءي طرح جناح هولندا اكسبو دبي  فكرة تدعو لدمج المساحات الحضرية والمساحات الخاصة لانتاج الغذاء عينك علا اكسبو   ,2/24/22 22:30,0,1,198,2/24/2022,7:30:00 PM,neutral
45,47,1.49692E+18,اختام قمة مستقبل الغذاء واليوم الوطني لقبرص ومدغشقر ابرز احداث اكسبو دبي عينك علا اكسبو   ,2/24/22 22:00,1,2,159,2/24/2022,7:00:00 PM,neutral
46,48,1.49691E+18,النقاشات اسبوع الغذاء والزراعة وسبل العيش اكسبو دبي خبراء يكشفون امكانية اطعام ملياري شخص اضافين عينك علا اكسبو   ,2/24/22 21:07,0,1,189,2/24/2022,6:07:35 PM,neutral
47,49,1.4969E+18,تصويري لجناح الروسي  اجمل الاجنحة فالتصميم الخارجي   ,2/24/22 20:36,2,1,95,2/24/2022,5:36:29 PM,positive
48,50,1.4969E+18,الدوزي يضيء سماء دبي حفل استثناءي بكل المقايس  الدوزي بيروتكم المغرب  اكسبو حياكم ,2/24/22 20:21,3,0,202,2/24/2022,5:21:02 PM,positive
49,51,1.49689E+18,ويركز جناح باكستان علا اكتشاف قطاعي السياحة والاستثمار والترويج مجموعة الشاشات تعرض مقاطع فيديو تفاعلية تصميمها لالهام الزاءر ليشهد تجربة رقمية لباكستان بدءا الحضارة القديمة العصر الحديث باكستان الامارات   ,2/24/22 19:51,0,0,281,2/24/2022,4:51:03 PM,neutral
50,52,1.49689E+18,ركزت علا احدث التقنيات والابتكارات مجال الزراعة قمة مستقبل الغذاء تختم فعالياتها اكسبو دبي عينك علا اكسبو  ,2/24/22 19:30,0,1,174,2/24/2022,4:30:00 PM,neutral
51,53,1.49688E+18,وكاله سافر لسياحة سافر لكل مسافر سافر معنا سافر باقل الاسعار اكسبلور دبا دبي الرياض رحلات الرياض الان اجازة اكسبو الرياض الان اكسبلور ,2/24/22 19:08,6,5,204,2/24/2022,4:08:32 PM,neutral
52,54,1.49688E+18,احتفالا باليوم الوطني لمالي الفنانة اومو سنغاري تشعل اجواء اكسبو دبي عينك علا اكسبو   ,2/24/22 19:00,1,1,145,2/24/2022,4:00:02 PM,positive
53,55,1.49687E+18,امر هام لاستخدام الزراعي الرمال المتنفسة ثورة عالم الزراعة بـ اكسيو دبي عينك علا اكسبو  ,2/24/22 18:12,5,4,151,2/24/2022,3:12:57 PM,neutral
54,56,1.49686E+18,استمرار فعاليات معرض الابتكار والتكنولوجيا والريادة الاردنية الجناح الاردني اكسبو   ,2/24/22 17:45,3,2,136,2/24/2022,2:45:42 PM,neutral
55,58,1.49685E+18,محمد بن راشد استقبال الرءيس القبرصي اكسبو  دبي محادثات ايجابية اجريناها واتفاقيات مشتركة شهدناها وعلاقات متطورة نتوقعها الفترة القادمة اكسبو  ,2/24/22 17:09,45,30,226,2/24/2022,2:09:19 PM,neutral
56,59,1.49685E+18,بهدف تعزيز التعاون دولة الامارات كندا استضافت القنصلية العامة لكندا ندوة الابتكارات الكندية مجالات الاغذية والتكنولوجيا الزراعية بـ اكسبو دبي عينك علا اكسبو   ,2/24/22 16:55,0,0,230,2/24/2022,1:55:58 PM,neutral
57,60,1.49683E+18,اين استلهمت كليثم فكرة الشجرة الالكترونية  تشاهدون ابتكار كليثم المدهش جناح المبتكرون الصغار فعاليات اكسبو   ,2/24/22 16:08,1,1,219,2/24/2022,1:08:50 PM,neutral
58,61,1.49683E+18,جربتم طباعة طعامكم قبل  يمكنكم فعل جناح ليتوانيا بـ اكسبو اياد شعشاعة يقدم جولة برنامج اكسبو اكسترا عينك علا اكسبو  ,2/24/22 16:04,2,3,199,2/24/2022,1:04:22 PM,neutral
59,62,1.49682E+18,اقدمه عبر قناتي اليوتيوب تصوير ومونتاج وتقديم اخترت جناح اليمن السعيد اراه وكما اراه التقرير مليء بالمعلومات الجديدة مشاهدة متعة    ,2/24/22 15:05,2,1,266,2/24/2022,12:05:41 PM,neutral
60,63,1.49682E+18,غينيا تشارك اكسبو دبي بجناح يستعرض ابرز الحلول المبتكرة لتعزيز الاستدامة والمحافظة علا المياه عينك علا اكسبو   ,2/24/22 15:01,0,2,168,2/24/2022,12:01:36 PM,neutral
61,64,1.49681E+18,  اكسبو  دبي  جناح المغرب يلهم ويقدم تراثه الجميل لعالم ولاجيال القادمة الفيلم المتحرك صمه شريكنا الرسمي مءسة دار الصانع عرضه الحكاية التفاعلية الحرف اليدوية المغرب   ,2/24/22 14:44,2,0,303,2/24/2022,11:44:00 AM,positive
62,65,1.49681E+18,لتسليط الضوء علا اجندة الابتكار الامارات  والتي تهدف تعزيز الامن الغذاءي جناح دولة الامارات اكسبو دبي  نظم حلقة نقاشية عنوان زراعة الغذاء الصحراء الابتكار الزراعي عينك علا اكسبو   ,2/24/22 14:30,2,3,256,2/24/2022,11:30:22 AM,neutral
63,66,1.4968E+18,شك اكسبو  دبي وضع الصومال علا الخريطة العالمية وانه لمن دواعي سرورنا نحظا بامتياز التفاعل اشخاص جنسيات مختلفة وزوار انحاء العالم الفرصة تزال قاءمة امامنا  يزال المزيد يسدل الستار علا فعاليات الحدث ,2/24/22 14:00,0,0,300,2/24/2022,11:00:02 AM,positive
64,67,1.4968E+18,علا منصة اليوبيل قدم المغني وكاتب الاغاني البناني الموهوب هادي سري الدين مجموعة منوعة الاغنيات الجميلة علا طريقة الهيب هوب نالت رضا الجمهور واستحسانه اكسبو دبي عينك علا اكسبو   ,2/24/22 14:00,0,2,246,2/24/2022,11:00:01 AM,positive
65,68,1.49679E+18,اكسبو دبي سبيل العالم تاسيس مستقبل الغذاء المستدام رابط التقرير  عينك علا اكسبو   ,2/24/22 13:27,0,3,195,2/24/2022,10:27:57 AM,neutral
66,69,1.49679E+18,وحتا الـ فبراير شباط الجاري  لرواد المطاعم الاستمتاع بتجارب تناول الطعام باسعار استثناءية  متاحة لمرة واحدة العمر  المطاعم الاكثر شهرة موقع اكسبو  دبي  وتلك الموجودة حديقة الاحتفالات ,2/24/22 13:00,0,0,276,2/24/2022,10:00:00 AM,neutral
67,70,1.49678E+18,مصمة الرقصات والراقصة الاشهر اسبانيا والعالم ماريا باغيس تقدم عرضا مذهلا الجناح الاسباني بالتعاون اكسبو دبي عينك علا اكسبو   ,2/24/22 12:43,3,3,192,2/24/2022,9:43:43 AM,positive
68,71,1.49678E+18,فديت هالويه    البرنسيسة ديانا حداد  دبي الامارات ,2/24/22 12:31,4,3,135,2/24/2022,9:31:37 AM,positive
69,72,1.49678E+18,يمثل متحف المستقبل الصورة رءية مدينة دبي المستقبلية المستحيل مكنا لهذا نزور دبي الاسبوع فعاليات معرض جويتد فخورين بانجازاتنا تسخير تكنولوجيا الذكاء الاصطناعي لمتحدثي الغة العربية بالهجات المحلية واحدة فقط ,2/24/22 12:29,1,0,299,2/24/2022,9:29:19 AM,positive
70,73,1.49677E+18,لامر راءع رءية الزاءرين يتبنون شعار فرصة تغتنمها ستفوت لابد ادراكهم لمحدودية المتبقي لرءية يقدمه اكسبو  بينما يتبقا اقل  يوما علا اسدال الستار علا فعاليات الحدث الدولي لقد شهدنا بام اعينا الطفرة تكرار الزيارات  ,2/24/22 12:00,0,0,304,2/24/2022,9:00:02 AM,positive
71,74,1.49677E+18,اكسبو دبي رحلة مالي ارض الفرص رابط التقرير عينك علا اكسبو   ,2/24/22 12:00,7,3,151,2/24/2022,9:00:00 AM,neutral
72,76,1.49676E+18,شعار حراس الارض الخصبة موزمبيق تشارك اكسبو دبي بجناح ميز يكشف الجانب المشرق لبلاد وثقافتها ومواردها وفرص الاستثمار عينك علا اكسبو  ,2/24/22 11:28,2,2,214,2/24/2022,8:28:33 AM,positive
73,77,1.49675E+18,اطلاق حملة الغذاء من اجل الحياة اكسبو دبي رابط التقرير  عينك علا اكسبو   ,2/24/22 10:48,1,1,186,2/24/2022,7:48:41 AM,neutral
74,78,1.49673E+18,جدول فعاليات وعروض اكسبو  دبي   اكسبو دبي ,2/24/22 9:31,1,0,125,2/24/2022,6:31:09 AM,neutral
75,79,1.49673E+18,تعرفوا علا ابرز فعاليات الـ  لـ اكسبو  دبي  الخميس  م اكسبو   ,2/24/22 9:02,14,26,149,2/24/2022,6:02:05 AM,neutral
76,80,1.49671E+18,تجد الدهن عود لكنها وجدت التعايش كمبوديا القهوة يد دانة اثيوبيا سيبقا في الذاكرة برفقة امنة الزعابي اذاعة اكسبو  ,2/24/22 7:44,0,0,164,2/24/2022,4:44:02 AM,neutral
77,81,1.49667E+18,جناح دولة الكويت اكسبو دبي  يعكس الوجه الحضاري والتنموي لبلاد الكويت الامارات  وزارة الاعلام الاخبار,2/24/22 5:00,0,0,157,2/24/2022,2:00:44 AM,positive
78,82,1.49664E+18,كوخ ذكي مكتب متنقل استكشف مزايا الوحدة السكنية الذكية بـ اكسبو دبي   ,2/24/22 3:00,19,3,141,2/24/2022,12:00:27 AM,neutral
79,83,1.49658E+18,بهدف توحيد الجهود العالمية لتحقيق مستقبل امن لغذاء انطلاق اعمال قمة مستقبل الغذاء والمعرض العالمي لتقنيات الزراعية والابتكار اكسبو عينك علا اكسبو  ,2/23/22 23:37,1,2,208,2/23/2022,8:37:09 PM,neutral
80,84,1.49658E+18,حلاة هالحس    البرنسيسة ديانا حداد  دبي الامارات,2/23/22 23:06,5,3,137,2/23/2022,8:06:20 PM,positive
81,85,1.49658E+18,جناح دولة الكويت اكسبو دبي  يعكس الوجه الحضاري والتنموي لبلاد الكويت الامارات ,2/23/22 22:59,0,0,129,2/23/2022,7:59:08 PM,positive
82,86,1.49657E+18,العراق بكل مكان مخزينه مشارك احسن ,2/23/22 22:56,3,0,73,2/23/2022,7:56:20 PM,negative
83,89,1.49657E+18, مغني الراب المصري شكرا اكسبو  دبي  شكرا دبي  وكل الشكر والتقدير لجمهور حضر  واتمنا اكون سب شعوركم بالبهجة اليلة عينك علا اكسبو   ,2/23/22 22:22,0,1,221,2/23/2022,7:22:10 PM,positive
84,90,1.49657E+18, وخلال الحفل  تقدم عفروتو بالشكر لادارة اكسبو دبي علا دعوته لغناء متنا لجمهور صاحبه بالغناء طوال عينك علا اكسبو   ,2/23/22 22:21,0,1,202,2/23/2022,7:21:53 PM,positive
85,91,1.49657E+18, ادا عفروتو اغنيته الشهيرة سوجارة علا اضواء جوالات الجمهور  تراقص طوال السهرة علا النغمات الصاخبة المرافقة لاغنيات الفنان الشاب عينك علا اكسبو   ,2/23/22 22:21,0,0,218,2/23/2022,7:21:40 PM,positive
86,92,1.49657E+18, تفاعل الجمهور حضر  مغني الراب المصري طوال بالرقص والغناء الاغنيات قدمها  سيما اشتهر اغنية تيجي جون مش بالحظوظ عينك علا اكسبو  ,2/23/22 22:21,0,0,238,2/23/2022,7:21:17 PM,positive
87,93,1.49657E+18, يغني عفروتو الراب بنكهة مصرية ويدمج غناءه الغتين الانجليزية والعربية اشهر مطربي الراب اشتهروا علا الساحة الفنية مءخرا  واصبحت شعبية كبيرة الجمهور عينك علا اكسبو  ,2/23/22 22:20,0,0,262,2/23/2022,7:20:54 PM,positive
88,94,1.49657E+18, عفروتو مغن شاب مدينة الاسكندرية  عمره  عاما  بدا رحلته الغناءية منصة يوتيوب  حتا وصل لشهرة اوسع ابوابها عينك علا اكسبو   ,2/23/22 22:20,0,0,209,2/23/2022,7:20:34 PM,neutral
89,95,1.49657E+18,لقطات اكسبو   ,2/23/22 22:20,0,1,60,2/23/2022,7:20:17 PM,neutral
90,96,1.49657E+18,فوديل دبي رايح وين مسافر فوديل  دبي الامارات اكسبو,2/23/22 22:18,1,0,135,2/23/2022,7:18:14 PM,neutral
91,98,1.49656E+18,فوديل اكسبو دبي يمكنا العيش حب فوديل  دبي الامارات اكسبو,2/23/22 22:06,2,0,149,2/23/2022,7:06:48 PM,neutral
92,99,1.49656E+18,اكسبو  دبي حدث فريد ومبهر صعب مهمة الدول المستضيفة لاكسبو مستقبلا لان الوصول لهذا المستوا اقرب المستحيل  ,2/23/22 22:02,114,4,177,2/23/2022,7:02:36 PM,positive
93,100,1.49655E+18,مغني الراب المصري عفروتو يحي حفلا كبيرا علا منصة اليوبيل الحدث الدولي اكسبو دبي عينك علا اكسبو  ,2/23/22 21:19,0,0,158,2/23/2022,6:19:41 PM,positive
94,101,1.49654E+18,حملة نساء قويات نتعرف مديرة عملية الاستدامة اكسبو  دينا ستوري اكسبو  دبي اشترك وتابع الحلقات علا ,2/23/22 20:19,4,0,253,2/23/2022,5:19:54 PM,neutral
95,102,1.49653E+18,مصر تطرح مشروعات عملاقة بقطاع الزراعة مشاركتها اكسبو دبي عينك علا اكسبو   ,2/23/22 20:00,1,1,134,2/23/2022,5:00:03 PM,neutral
96,103,1.49653E+18,ركن حكايه    ,2/23/22 19:52,2,0,53,2/23/2022,4:52:01 PM,neutral
97,104,1.49653E+18,جمال السعوديه شوي   ,2/23/22 19:50,2,0,57,2/23/2022,4:50:11 PM,positive
98,105,1.49652E+18,جناح الامارات يعرض ابتكارا مهمته تخزين الطاقة الشمسية برنامج مع اكسبو علا تلفزيون دبي بترا نرش ونبيل ايوب اكسبو دبي ,2/23/22 19:10,4,0,169,2/23/2022,4:10:20 PM,neutral
99,106,1.49651E+18,يكتفي اكسبو دبي ابهر العالم  يتطور باستمرار  وذلك بمجموعة الاماكن الجديدة دشنها ومنها حديقة الاحتفالات  وساحة مركز دبي لمعارض  وساحة اكسبو الرياضية عينك علا اكسبو   ,2/23/22 18:30,0,2,242,2/23/2022,3:30:00 PM,positive
100,107,1.4965E+18,النرويج تجسد تراثها مجال الملاحة البحرية جناحها اكسبو دبي يبرز حلولها الراءدة لمحيطات المستدامة العالم عينك علا العالم  ,2/23/22 18:00,1,0,201,2/23/2022,3:00:02 PM,neutral
101,108,1.49649E+18,فعالية تسليط الضوء علا افريقيا اسبوع الغذاء والزراعة وسبل العيش اكسبو دبي تسلط الضوء علا تحقيق امن غذاءي اكبر وتساهم تعريف العالم علا الفرص المتاحة بمنطقة الساحل الافريقي عينك علا اكسبو   ,2/23/22 17:30,0,1,256,2/23/2022,2:30:00 PM,neutral
102,109,1.49649E+18,وزارة الدولة لشءون المجلس الوطني الاتحادي الاماراتي تستعرض اهم مبادراتها المبتكرة اكسبو دبي الخاصة بتنمية الوعي السياسي وبالحياة البرلمانية عينك علا اكسبو   تعرفوا علا التفاصيل ,2/23/22 17:00,2,2,245,2/23/2022,2:00:02 PM,neutral
103,110,1.49648E+18,ينخرط المكتب الوطني لسك الحديدية الاستراتيجية الطاقية الوطنية  تنهجها الملكة    القيادة الرشيدة والرءية الثاقبة لصاحب الجلالة الملك محمد السادس نصره اله وايده    ,2/23/22 16:24,0,0,294,2/23/2022,1:24:48 PM,positive
104,111,1.49647E+18,جناحها يوفر فرصة مثالية لاستكشاف فرص الاعمال ويستهدف تعزيز التحول الرقمنة مقدونيا اكسبو دبي ارض الفرص والثقافات عينك علا اكسبو  ,2/23/22 16:00,2,1,201,2/23/2022,1:00:00 PM,positive
105,112,1.49647E+18,دولة الامارات تطلق مبادرة الغذاء من اجل الحياة بمعرض اكسبو دبي وتهدف الحملة التوعوية لتعزيز النظم الغذاءية الصحية والمستدامة شاهدوا التقرير عينك علا اكسبو قمة مستقبل الغذاء غذاء مستدام  ,2/23/22 15:45,4,3,260,2/23/2022,12:45:00 PM,neutral
106,113,1.49646E+18,زراعة مستدامة لاجيال المستقبل قمة مستقبل الغذاء بـ اكسبو دبي تناقش الدور المهم لتكنولوجيا المتطورة ومستقبل الامن الغذاءي عينك علا اكسبو  ,2/23/22 15:30,2,4,204,2/23/2022,12:30:00 PM,neutral
107,114,1.49645E+18,خبراء العالم يءسون لمستقبل غذاء العالم اكسبو دبي رابط التقرير عينك علا اكسبو   ,2/23/22 15:00,1,0,165,2/23/2022,12:00:03 PM,neutral
108,115,1.49645E+18,حافظ علا جناح ملكة تايلاند ,2/23/22 14:59,0,0,46,2/23/2022,11:59:31 AM,positive
109,116,1.49645E+18,صناعة الفخار فن تشكيلي ابداعي يتقنه الجزاءري كمال بلعزوق ويطوعه الطين والنار والالوان بحسابات بعضها يخضع لعلم والتجربة وبعضها الاخر يخضع لخبرة ونرا بلعزوق جالسا ركن بمدخل الجناح الجزاءري    الواقع بمنطقة التنقل بالحدث الدولي اكسبو  دبي  جناح الجزاءر ,2/23/22 14:47,0,0,301,2/23/2022,11:47:09 AM,positive
110,117,1.49645E+18,علا هامش قمة مستقبل الغذاء بـ اكسبو دبي منظمة الاغذية العالمية تشيد بجهود دولة الامارات تعزيز جهود الامن الغذاءي العالمي عينك علا اكسبو  ,2/23/22 14:30,1,3,200,2/23/2022,11:30:01 AM,positive
111,119,1.49644E+18,الساحل الافريقي كنز الفرص المفقودة اكسبو دبي نقطة انطلاق لتفاصيل عينك علا اكسبو   ,2/23/22 14:00,1,1,167,2/23/2022,11:00:02 AM,neutral
